CD,Biden,Trump
NC-05,124653,265676
NC-06,257257,155401
NC-07,187839,267880
NC-08,177877,202789
NC-09,187002,219264
NC-10,131228,284457
NC-11,196934,251903
NC-12,308124,125328
NC-13,126861,267639
ND-01,114902,235595
OH-01,185947,198433
OH-02,165593,214600
OH-03,231278,93890
OH-04,110336,237144
OH-05,141528,237762
OH-06,91296,248554
OH-07,120706,237313
OH-08,119846,243068
OH-09,184337,124569
OH-10,172471,188673
OH-11,252725,60902
OH-12,206386,232901
OH-13,171245,159938
OH-14,185689,222983
OH-15,166098,221898
OH-16,173685,232207
OK-01,125905,202879
OK-02,64353,221123
OK-03,72141,232416
OK-04,101120,207214
OK-05,140371,156648
OR-01,298753,160808
OR-02,197922,261602
OR-03,356659,112556
OR-04,238619,219851
OR-05,248430,203631
PA-01,233446,207433
PA-02,207491,86128
PA-03,357956,31769
PA-04,276491,168191
PA-05,263644,137678
PA-06,232017,170600
PA-07,199283,180774
PA-08,168613,184363
PA-09,122523,232115
PA-10,189803,201367
PA-11,148521,233074
PA-12,107798,232392
PA-13,100543,264266
PA-14,135824,240206
PA-15,96863,250545
PA-16,145265,213031
PA-17,221505,209637
PA-18,252860,134833
RI-01,154430,83607
RI-02,153056,116315
SC-01,197288,222708
SC-02,158948,200210
SC-03,102331,228058
SC-04,140939,215237
SC-05,150853,211989
SC-06,194414,92192
SC-07,146768,214709
SD-01,150471,261043
TN-01,70463,242686
TN-02,124229,228990
TN-03,110460,219247
TN-04,108734,239401
TN-05,210086,127953
TN-06,96446,273924
TN-07,115166,245882
TN-08,114528,225471
TN-09,193598,48921
TX-01,83229,218700
TX-02,170430,174980
TX-03,209859,214359
TX-04,84680,258470
TX-05,107494,172395
TX-06,164746,175101
TX-07,170060,143176
TX-08,109291,274224
TX-09,178908,54944
TX-10,203975,210770
TX-11,58592,235697
TX-12,140683,224490
TX-13,54002,219888
TX-14,124630,185961
TX-15,119784,115315
TX-16,160809,77473
TX-17,137632,172342
TX-18,189823,57669
TX-19,71237,195515
TX-20,177058,96537
TX-21,220567,232945
TX-22,206114,210011
TX-23,146559,151964
TX-24,180609,161671
TX-25,177852,216265
TX-26,185956,248196
TX-27,104511,170800
TX-28,125755,115160
TX-29,106229,52937
TX-30,212373,50270
TX-31,192599,204096
TX-32,187919,151944
TX-33,117340,41209
TX-34,106771,98462
TX-35,188169,84811
TX-36,82881,221600
UT-01,113343,230314
UT-02,148890,207667
UT-03,131845,225830
UT-04,166204,201329
VT-01,242820,112704
VA-01,213535,233398
VA-02,186427,169365
VA-03,233646,108728
VA-04,246583,146900
VA-05,183175,217535
VA-06,149254,231248
VA-07,228335,223268
VA-08,311470,84711
VA-09,98653,244996
VA-10,281817,189376
VA-11,280673,112905
WA-01,257631,166460
WA-02,257291,145138
WA-03,198429,214391
WA-04,122691,179022
WA-05,178895,215706
WA-06,244141,168250
WA-07,410067,58832
WA-08,218274,190801
WA-09,265393,88993
WA-10,216800,157058
WV-01,81849,183904
WV-02,92623,184784
WV-03,61512,176694
WI-01,182942,220668
WI-02,323807,136439
WI-03,184306,202659
WI-04,242263,71833
WI-05,187851,255803
WI-06,170457,232820
WI-07,165104,248822
WI-08,174136,241140
WY-01,73491,193559
