ad,ed,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein
24,6,7,7,14,7,27,0,4,27,33,1,5,53,2,2
24,7,9,5,14,1,27,0,3,41,39,2,5,25,2,0
24,8,3,1,1,1,8,0,0,6,11,1,2,7,0,0
24,9,1,0,1,1,0,0,0,0,2,0,0,0,0,0
24,10,2,2,6,3,8,0,3,12,18,0,2,13,0,0
24,11,4,6,13,2,26,1,4,19,22,2,3,13,4,0
24,12,0,0,2,2,0,0,1,1,5,0,0,1,0,0
24,13,3,5,16,4,20,1,0,19,80,0,10,28,1,0
24,14,2,4,12,1,18,0,0,22,49,0,5,20,0,0
24,15,0,2,12,7,14,0,1,20,27,0,3,6,1,0
24,16,0,0,1,1,12,0,2,21,7,0,2,39,0,0
24,17,1,3,14,4,20,2,5,35,22,0,3,56,0,1
24,18,0,2,15,1,11,2,2,33,19,0,10,25,0,1
24,19,0,1,12,0,23,0,1,60,21,0,3,40,1,0
24,20,0,1,18,5,17,0,3,43,43,0,9,24,0,1
24,21,1,2,29,6,14,1,0,45,45,0,8,28,0,0
24,22,0,2,18,3,17,0,1,54,38,0,3,24,1,0
24,23,0,1,2,0,1,0,0,8,1,0,3,12,0,0
24,24,1,0,14,3,13,0,3,68,30,1,6,37,1,0
24,25,0,7,21,1,9,0,1,47,25,0,4,45,0,0
24,26,3,4,3,1,11,1,1,12,15,0,3,19,0,0
24,27,0,2,11,10,30,0,0,7,155,0,8,12,0,1
24,28,0,4,8,8,16,0,2,35,73,0,3,18,1,0
24,29,1,5,14,10,29,0,0,9,118,0,14,20,1,0
24,30,3,9,14,7,33,2,1,16,111,0,6,28,2,0
24,31,2,2,7,1,24,0,0,9,29,0,5,17,1,0
24,32,0,1,6,1,7,0,0,14,36,0,1,19,0,0
24,33,0,0,11,5,15,0,1,30,63,0,2,27,0,0
24,34,0,0,2,1,7,0,0,32,37,0,1,20,0,0
24,35,1,3,9,3,33,0,0,20,42,0,6,28,0,0
24,36,3,1,9,2,7,0,0,9,21,0,4,12,0,0
24,37,2,1,4,0,19,0,0,10,32,0,7,20,0,0
24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,39,0,0,0,0,0,0,0,4,4,1,0,0,0,1
24,40,4,10,6,5,48,1,2,26,92,0,6,26,1,0
24,41,0,1,5,1,2,0,0,1,5,0,1,4,0,0
24,42,3,7,5,1,7,0,2,10,18,0,2,22,0,0
24,43,13,11,9,3,40,2,1,25,51,2,8,17,0,0
24,44,5,4,5,4,18,2,1,19,36,0,3,26,0,0
24,45,0,0,6,3,33,2,0,29,37,0,2,18,0,0
24,46,6,4,5,1,31,0,0,19,57,0,2,13,1,0
24,47,4,8,8,0,28,0,4,7,28,0,7,32,0,0
24,48,0,0,0,0,0,0,1,0,1,0,0,1,0,0
24,49,0,8,21,8,47,0,1,32,61,0,13,35,0,0
24,50,2,1,5,1,14,0,1,12,24,0,1,23,0,0
24,51,5,7,5,3,23,0,3,19,38,3,8,30,2,0
24,52,2,12,10,0,26,0,1,17,15,0,5,24,0,0
24,53,2,12,10,2,20,0,2,20,46,1,6,20,2,0
24,54,1,20,19,2,25,0,5,14,73,2,6,33,1,0
24,55,12,10,14,1,23,0,4,11,58,0,5,26,0,0
24,56,0,0,0,0,2,0,1,1,3,0,0,2,0,0
24,57,6,2,5,6,10,0,0,4,19,0,1,5,0,0
24,58,1,5,1,2,13,0,0,3,20,0,0,6,0,0
24,59,0,3,7,3,11,0,0,9,44,0,5,9,0,1
24,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,61,1,5,14,0,26,0,1,20,29,1,4,23,0,0
24,62,5,14,13,2,23,0,2,11,63,1,4,20,0,0
24,63,0,0,1,3,8,0,0,5,22,0,0,6,0,1
24,64,2,4,4,1,8,0,1,2,24,0,1,6,0,0
24,65,1,2,2,0,7,0,0,2,17,0,1,12,0,0
24,66,3,2,2,2,12,0,0,6,23,2,1,21,0,0
24,67,5,9,9,1,15,0,2,6,27,0,8,21,1,1
24,68,1,6,7,0,7,0,0,7,13,0,4,9,0,0
24,69,1,2,5,1,17,0,0,15,24,2,0,14,1,0
24,70,10,2,0,0,14,0,0,6,19,0,1,13,0,0
24,71,2,0,12,1,12,0,2,1,27,0,1,14,0,0
24,72,2,2,3,1,4,0,2,2,18,0,3,12,0,0
24,73,0,1,4,0,7,1,1,7,20,1,1,19,0,0
24,74,0,2,1,0,10,0,1,4,30,0,4,9,0,0
24,75,1,1,0,1,17,0,0,2,27,0,0,18,0,0
24,76,9,6,3,1,6,0,2,8,25,0,10,19,0,0
24,77,3,2,4,3,11,0,2,12,19,0,3,19,0,0
24,78,3,4,9,4,26,0,3,7,20,1,4,23,0,1
24,79,3,2,1,3,10,2,2,5,20,0,1,14,2,0
24,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,84,1,3,15,2,17,0,2,35,23,0,5,43,1,0
24,85,3,3,8,3,17,2,6,18,22,0,2,15,1,0
24,86,4,7,1,1,22,0,0,10,14,0,4,6,1,0
24,87,1,1,1,2,9,0,1,1,9,0,1,10,0,0
24,88,1,1,4,0,8,0,2,4,14,1,0,12,0,0
24,89,0,5,17,3,14,1,2,45,30,0,5,34,0,1
24,90,1,3,1,4,9,0,2,9,39,2,2,22,1,0
24,91,0,2,5,5,18,0,0,7,48,0,3,13,0,0
25,1,0,0,4,3,23,0,1,10,27,0,0,31,0,1
25,2,0,0,0,1,4,0,0,2,5,0,2,9,0,0
25,3,0,5,15,3,18,0,1,29,37,0,4,38,0,1
25,4,0,7,6,2,19,0,2,20,26,0,8,32,0,0
25,5,0,1,4,1,5,0,0,2,6,0,0,5,0,0
25,6,0,5,2,2,11,0,0,11,27,0,5,30,0,0
25,7,0,1,4,3,18,2,1,6,39,0,5,21,0,0
25,8,1,2,5,2,12,0,1,17,22,0,1,28,0,1
25,9,0,2,5,0,3,0,0,4,5,0,0,14,0,0
25,10,0,0,8,2,7,0,0,13,23,0,1,24,0,2
25,11,0,1,14,3,11,0,0,15,45,0,2,39,0,0
25,12,0,2,13,0,4,0,0,16,72,0,2,42,0,0
25,13,1,4,2,1,5,1,0,19,19,0,0,69,0,1
25,14,1,5,16,0,6,0,1,24,29,0,2,32,0,0
25,15,0,3,19,0,15,0,1,17,14,0,3,20,0,1
25,16,0,1,8,1,7,0,3,19,21,0,2,31,0,1
25,17,0,6,4,1,22,0,1,26,55,2,3,19,0,2
25,18,0,0,4,3,27,0,2,6,48,0,3,17,0,0
25,19,1,3,11,3,25,1,2,15,46,1,4,37,0,0
25,20,0,4,11,1,19,0,4,20,45,1,2,41,0,0
25,21,0,1,10,0,11,0,4,20,12,0,2,56,0,0
25,22,0,10,7,2,27,1,5,23,32,0,3,34,0,0
25,23,1,0,3,0,5,0,0,12,11,0,3,34,0,0
25,24,1,3,5,4,13,0,5,23,17,0,1,72,0,1
25,25,2,1,11,0,9,0,3,16,19,0,1,50,0,1
25,26,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,27,0,0,6,1,10,0,1,12,12,0,4,47,1,0
25,28,1,0,2,3,19,0,4,13,16,0,7,54,0,0
25,29,0,2,10,10,17,1,3,35,20,0,1,50,0,0
25,30,0,2,7,1,17,0,1,40,29,0,5,48,0,0
25,31,1,3,6,9,18,0,3,13,60,0,1,32,0,0
25,32,2,5,2,1,16,0,12,23,20,0,2,55,0,0
25,33,3,2,3,1,8,0,2,1,18,0,4,26,0,0
25,34,0,0,1,1,0,0,1,2,4,0,0,3,0,0
25,35,0,3,6,0,23,0,2,12,17,0,2,70,0,1
25,36,2,6,11,4,13,0,5,17,22,0,3,59,0,0
25,37,4,1,8,0,7,2,3,20,13,2,2,49,1,0
25,38,0,2,4,1,8,0,1,21,8,0,1,35,0,0
25,39,0,2,7,2,10,0,4,27,17,0,2,43,0,0
25,40,0,1,7,1,16,1,2,23,20,0,10,9,0,0
25,41,0,1,3,4,3,0,0,5,5,0,0,3,0,0
25,42,0,1,3,0,9,0,2,19,3,0,1,38,0,0
25,43,1,3,5,0,14,0,4,22,19,0,1,75,0,0
25,44,2,2,10,0,11,0,1,18,10,0,3,69,0,0
25,45,1,3,7,1,11,0,0,7,4,0,0,86,1,0
25,46,0,1,6,0,6,0,2,8,7,0,3,83,2,2
25,47,0,2,3,1,12,0,2,14,9,0,7,100,0,1
25,48,0,1,4,1,7,1,1,3,9,0,3,59,1,1
25,49,1,6,4,0,11,0,3,10,10,0,3,77,0,0
25,50,1,2,6,2,14,0,3,7,16,0,1,76,1,0
25,51,3,2,3,1,12,0,5,7,19,0,4,73,1,1
