ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
33,42,0,0,0,2,0,7,2,43,0,0,12,110,2,2,9,1,0
33,44,0,0,0,0,1,10,9,30,1,1,8,140,1,4,8,0,0
33,50,0,0,0,0,4,7,6,29,1,0,4,86,1,4,14,0,0
33,57,0,0,0,0,1,8,14,41,0,0,5,179,1,8,8,1,0
33,61,0,0,0,1,1,6,8,19,0,0,1,155,0,4,3,3,0
33,62,0,0,0,0,0,10,5,38,1,0,1,152,1,6,7,0,0
33,63,0,0,0,0,6,7,7,40,0,0,2,177,0,9,7,0,1
33,66,0,0,0,2,0,9,12,30,2,1,13,226,3,10,9,1,0
33,68,0,0,0,0,3,6,9,52,1,1,8,186,1,2,7,0,0
33,69,0,0,0,1,3,10,7,64,1,0,8,189,1,4,9,1,0
33,71,0,0,0,3,3,13,13,40,1,0,4,196,1,2,4,0,0
33,72,0,0,0,2,4,7,4,29,0,0,2,111,2,2,5,1,0
33,73,0,0,0,0,1,4,6,41,0,1,2,119,1,2,5,0,0
33,78,0,0,0,1,1,6,3,28,0,1,7,127,1,5,5,0,0
34,4,0,0,0,0,11,4,2,5,0,1,11,43,1,1,8,0,0
34,18,0,0,0,0,5,3,0,25,0,2,13,19,0,2,9,0,0
35,15,0,0,0,2,1,9,2,26,0,2,11,88,1,3,23,1,0
35,21,0,0,0,1,0,5,1,9,0,0,8,22,0,1,9,0,0
35,45,0,0,0,2,4,4,5,16,0,2,2,46,0,5,10,1,0
35,47,0,0,0,3,5,3,2,20,0,0,8,78,0,4,9,0,0
35,65,0,0,0,2,8,3,5,14,0,2,4,29,0,2,13,0,0
36,65,0,0,0,2,2,5,0,27,0,2,12,7,0,5,5,0,0
37,4,0,0,0,3,5,1,4,34,1,2,13,88,3,1,5,2,0
37,12,0,0,0,2,5,4,2,14,0,1,3,67,1,1,13,1,1
37,15,0,0,0,2,7,3,4,20,0,2,3,77,2,2,8,3,0
37,16,0,0,0,2,5,8,4,16,0,2,9,78,0,0,9,1,0
38,1,0,0,0,0,6,4,1,50,5,4,21,12,0,2,16,0,1
38,2,0,0,0,1,9,1,1,63,5,1,8,7,0,0,16,0,0
38,3,0,0,0,4,9,2,3,70,7,2,11,21,0,0,15,1,0
41,31,0,0,0,1,2,6,0,22,1,0,5,122,1,0,7,0,0
41,34,0,0,0,1,0,6,4,16,0,1,1,145,0,2,4,2,1
41,37,0,0,0,0,0,5,1,30,0,0,5,155,0,8,10,0,0
41,48,0,0,0,0,2,3,1,12,0,0,4,86,1,3,2,0,0
41,51,0,0,0,1,0,1,2,10,0,0,2,49,0,0,8,0,0
41,96,0,0,0,1,1,6,5,26,0,0,4,96,0,3,2,0,0
41,97,0,0,0,0,2,4,2,27,0,0,5,114,0,3,8,0,0
