ad,ed,silwa,mateo,writein
26,56,11,5,1
26,57,23,7,0
26,58,22,8,0
26,59,26,7,0
26,60,32,16,1
26,61,23,8,0
26,62,14,7,1
26,63,22,5,0
26,64,28,17,1
26,65,11,5,0
26,66,31,17,4
26,67,32,13,2
26,68,42,14,4
26,69,7,5,1
26,70,11,11,1
26,71,1,0,0
26,72,17,4,1
26,73,0,0,0
26,74,5,3,0
26,75,16,5,0
26,76,23,10,0
26,77,0,0,0
26,78,0,0,0
26,79,16,7,1
26,80,8,5,1
26,81,23,22,11
26,82,5,6,0
26,83,17,6,2
26,84,2,0,0
26,85,14,0,0
27,1,15,2,0
27,2,3,0,0
27,3,5,4,2
27,4,6,1,0
27,5,12,0,0
27,6,13,1,1
27,7,4,2,0
27,8,8,1,0
27,9,2,0,0
27,10,0,0,0
27,11,0,0,0
27,12,8,0,0
27,13,15,2,1
27,14,14,8,0
27,15,3,4,0
27,16,8,4,0
27,17,0,1,0
27,18,10,1,0
27,19,6,3,1
27,20,9,2,0
27,21,5,5,0
27,22,4,1,1
27,23,51,32,3
27,24,17,2,2
27,25,7,2,0
27,26,10,2,3
27,27,6,1,0
27,28,14,3,1
27,29,3,2,0
27,30,5,0,1
27,31,0,0,0
27,32,0,1,0
27,33,1,0,0
27,34,8,3,0
27,35,2,3,0
27,36,7,3,0
27,37,1,1,0
27,38,10,3,0
27,39,3,2,0
27,40,0,0,0
27,41,1,0,0
27,42,12,10,0
27,43,8,1,1
27,44,7,2,0
27,45,9,4,2
27,46,5,0,0
27,47,2,3,0
27,48,6,2,1
27,49,8,0,1
27,50,13,0,0
27,51,91,18,0
27,52,11,3,0
27,53,13,3,0
27,54,5,1,0
27,55,6,4,0
27,56,3,0,0
27,57,26,9,0
27,58,0,0,0
27,59,32,10,1
27,60,11,1,0
27,61,9,6,0
27,62,10,5,1
27,63,12,3,0
27,64,12,6,2
27,65,18,3,2
27,66,23,7,3
27,67,20,6,1
27,68,25,3,3
27,69,0,0,0
27,70,0,0,0
27,71,0,0,0
27,72,0,0,0
27,73,0,0,0
27,74,0,0,0
27,75,0,0,0
27,76,0,0,0
27,77,0,0,0
27,78,0,0,0
27,79,4,6,1
27,80,5,2,0
27,81,16,3,0
27,82,0,1,0
27,83,9,1,0
27,84,5,1,0
27,85,1,0,0
27,86,12,1,0
27,87,19,1,0
27,88,6,0,0
27,89,11,2,4
28,1,6,2,0
28,2,8,2,0
28,3,21,4,1
28,4,7,4,0
28,5,4,2,0
28,6,10,7,0
28,7,4,4,0
28,8,3,4,1
28,9,8,4,0
28,10,12,4,1
28,11,6,3,0
28,12,10,1,0
28,13,0,0,0
28,14,11,3,0
28,15,31,8,0
28,16,41,12,1
28,17,40,10,1
28,18,14,4,0
28,19,16,1,2
28,20,10,3,0
28,21,17,3,0
28,22,28,3,1
28,23,9,2,1
28,24,7,4,0
28,25,8,1,0
28,26,6,0,0
28,27,6,2,1
28,28,10,5,0
28,29,11,6,0
28,30,14,2,0
28,31,14,1,1
28,32,13,8,0
28,33,2,0,0
28,34,0,0,0
28,35,16,3,1
28,36,9,2,0
28,37,9,0,0
28,38,7,3,0
28,39,5,0,0
28,40,8,0,0
28,41,6,3,1
28,42,6,1,0
28,43,9,4,3
28,44,2,0,0
28,45,11,8,1
28,46,6,1,1
28,47,22,3,1
28,48,17,6,0
28,49,1,2,0
28,50,11,5,1
28,51,12,3,0
28,52,3,2,0
28,53,7,1,0
28,54,6,3,0
28,55,4,2,0
28,56,15,6,1
28,57,6,3,0
28,58,11,0,1
28,59,2,2,0
28,60,8,5,1
28,61,27,5,0
28,62,11,2,0
28,63,10,3,0
28,64,13,4,2
28,65,20,3,1
28,66,16,8,4
28,67,18,3,3
28,68,26,5,1
28,69,24,5,1
28,70,20,6,0
28,71,42,8,2
28,72,28,8,0
28,73,25,6,0
28,74,30,5,2
28,75,43,5,2
28,76,51,17,0
28,77,40,11,0
28,78,9,3,1
28,79,0,0,0
28,80,14,4,0
28,81,20,8,0
28,82,29,9,0
28,83,29,5,0
28,84,6,3,0
28,85,4,1,0
28,86,16,5,1
28,87,8,3,0
28,88,8,1,0
28,89,7,12,0
29,1,1,0,0
29,2,0,3,0
29,3,3,0,0
29,4,1,1,0
29,5,1,0,0
29,6,5,2,0
29,7,1,0,0
29,8,1,3,1
29,9,4,3,2
29,10,5,1,0
29,11,4,2,0
29,12,1,1,0
29,13,8,2,0
29,14,0,0,0
29,15,2,2,0
29,16,3,0,0
29,17,2,2,0
29,18,0,0,1
29,19,1,1,0
29,20,0,0,0
29,21,0,0,0
29,22,0,0,0
29,23,1,0,0
29,24,1,1,0
29,25,0,0,1
29,26,0,1,0
29,27,2,0,0
29,28,0,0,1
29,29,0,0,0
29,30,0,0,0
29,31,0,2,0
29,32,0,0,0
29,33,0,0,0
29,34,0,1,1
29,35,0,0,1
29,36,0,0,0
29,37,2,1,0
29,38,1,1,0
29,39,2,2,0
29,40,0,0,0
29,41,0,0,1
29,42,0,0,0
29,43,1,0,0
29,44,1,0,0
29,45,2,0,0
29,46,0,0,0
29,47,0,2,0
29,48,0,1,0
29,49,0,1,0
29,50,0,0,1
29,51,1,0,0
29,52,0,0,0
29,53,0,1,0
29,54,1,0,0
29,55,1,0,0
29,56,0,0,0
29,57,0,0,0
29,58,1,0,0
29,59,1,0,0
29,60,0,0,0
29,61,6,0,0
29,62,0,1,0
29,63,0,0,0
29,64,0,0,0
29,65,0,0,0
29,66,1,0,0
29,67,1,2,0
29,68,1,0,0
29,69,0,0,0
29,70,0,0,0
29,71,2,0,0
29,72,4,6,0
29,73,4,0,0
29,74,0,2,0
29,75,0,0,0
29,76,13,1,0
29,77,0,0,0
29,78,0,0,0
29,79,0,1,0
29,80,0,0,0
30,1,5,0,0
30,2,15,3,0
30,3,3,0,0
30,4,24,6,1
30,5,54,6,1
30,6,41,6,1
30,7,41,6,2
30,8,44,10,2
30,9,48,18,2
30,10,18,11,2
30,11,25,8,1
30,12,44,15,0
30,13,41,8,2
30,14,30,7,2
30,15,31,10,0
30,16,19,0,0
30,17,28,4,2
30,18,18,7,1
30,19,1,0,0
30,20,13,1,0
30,21,15,3,3
30,22,21,2,0
30,23,16,3,3
30,24,20,1,0
30,25,19,1,0
30,26,30,1,0
30,27,16,2,1
30,28,0,1,0
30,29,0,0,0
30,30,7,2,0
30,31,8,1,0
30,32,0,0,0
30,33,2,1,0
30,34,0,0,0
30,35,1,0,0
30,36,6,1,0
30,37,7,5,1
30,38,2,0,1
30,39,17,9,1
30,40,9,1,0
30,41,3,1,0
30,42,7,4,0
30,43,2,2,1
30,44,6,4,0
30,45,5,0,0
30,46,6,8,2
30,47,10,5,1
30,48,39,7,0
30,49,6,2,0
30,50,10,2,2
30,51,10,2,0
30,52,5,0,0
30,53,5,2,0
30,54,1,0,0
30,55,8,3,1
30,56,2,1,0
30,57,3,2,0
30,58,1,2,0
30,59,3,0,0
30,60,10,3,0
30,61,6,6,0
30,62,1,2,0
30,63,2,0,0
30,64,3,2,2
30,65,6,2,0
30,66,2,3,0
30,67,3,0,0
30,68,3,2,1
30,69,3,0,0
30,70,0,0,0
30,71,0,0,0
30,72,0,0,0
30,73,33,12,0
30,74,19,5,0
30,75,4,5,0
30,76,6,1,0
30,77,8,2,0
30,78,3,0,0
30,79,0,0,0
30,80,1,1,0
30,81,7,4,1
30,82,2,8,0
31,1,4,3,0
31,2,5,2,0
31,3,3,0,0
31,4,3,1,0
31,5,3,2,1
31,6,0,0,0
31,7,2,1,0
31,8,5,4,0
31,9,3,0,0
31,10,4,0,0
31,11,4,2,1
31,12,3,5,0
31,13,0,2,0
31,14,2,1,0
31,15,2,0,0
31,16,0,0,0
31,17,1,0,0
31,18,0,1,0
31,19,1,0,0
31,20,5,1,0
31,21,1,0,0
31,22,3,0,0
31,23,14,2,1
31,24,4,1,0
31,25,2,1,0
31,26,7,6,0
31,27,7,4,0
31,28,5,3,0
31,29,0,0,0
31,30,0,0,0
31,31,0,1,0
31,32,1,4,0
31,33,0,0,0
31,34,0,2,1
31,35,0,0,0
31,36,1,1,0
31,37,1,0,0
31,38,0,0,0
31,39,2,0,0
31,40,0,0,0
31,41,0,0,0
31,42,0,0,0
31,43,1,0,0
31,44,0,0,0
31,45,0,1,0
31,46,0,0,0
31,47,0,0,1
31,48,0,0,0
31,49,0,0,0
31,50,1,0,0
31,51,0,3,0
31,52,0,1,0
31,53,0,0,0
31,54,2,2,0
31,55,0,0,0
31,56,1,0,0
31,57,5,0,0
31,58,1,0,0
31,59,1,2,0
31,60,0,0,0
31,61,0,1,0
31,62,0,0,0
31,63,0,0,2
31,64,0,0,0
31,65,0,0,0
31,66,0,0,0
31,67,0,0,0
31,68,0,0,0
31,69,0,0,0
31,70,0,0,0
31,71,0,0,0
31,72,0,0,0
31,73,0,0,0
31,74,0,0,0
31,75,0,0,0
31,76,0,0,0
31,77,0,0,0
31,78,2,2,0
31,79,0,0,0
31,80,1,0,0
31,81,7,0,0
31,82,1,0,0
31,83,2,0,0
31,84,0,0,0
31,85,0,0,0
31,86,0,1,0
32,1,1,0,0
32,2,0,0,0
32,3,2,2,0
32,4,2,3,1
32,5,1,0,0
32,6,1,0,0
32,7,0,0,0
32,8,0,0,0
32,9,0,0,0
32,10,0,0,0
32,11,1,0,0
32,12,0,0,0
32,13,2,0,0
32,14,0,0,0
32,15,1,0,0
32,16,1,1,0
32,17,3,0,0
32,18,1,0,0
32,19,2,1,1
32,20,0,4,0
32,21,2,1,0
32,22,2,0,0
32,23,0,0,0
32,24,0,0,0
32,25,0,0,0
32,26,1,1,0
32,27,0,0,0
32,28,1,0,0
32,29,1,0,0
32,30,0,0,0
32,31,3,0,0
32,32,0,1,0
32,33,0,0,0
32,34,1,1,0
32,35,0,2,0
32,36,1,0,0
32,37,2,2,0
32,38,3,0,0
32,39,1,0,0
32,40,1,1,0
32,41,1,0,0
32,42,0,0,0
32,43,0,0,0
32,44,0,0,0
32,45,0,1,0
32,46,1,1,0
32,47,0,0,0
32,48,0,0,0
32,49,1,0,0
32,50,0,0,0
32,51,0,0,0
32,52,0,0,0
32,53,0,0,0
32,54,0,0,0
32,55,0,1,0
32,56,0,0,0
32,57,0,0,0
32,58,2,1,0
32,59,1,0,0
32,60,0,1,0
32,61,0,0,0
32,62,1,1,0
32,63,1,1,0
32,64,0,2,0
32,65,1,0,0
32,66,0,0,0
32,67,1,0,0
32,68,0,0,1
32,69,0,0,0
32,70,0,2,0
32,71,0,0,0
32,72,0,0,0
32,73,1,0,1
32,74,0,0,0
32,75,0,0,0
32,76,0,0,0
32,77,0,0,0
32,78,0,2,0
32,79,1,0,0
32,80,1,3,0
32,81,3,1,0
32,82,0,0,0
32,83,0,0,0
32,84,0,0,0
33,1,14,4,1
33,2,12,0,0
