FIPS,2-party change,Non-white change
01031,-2.5024868315244575,1.6923438092182437
01033,-14.268101894473531,2.6019434228436786
01035,0.8935720999835368,4.593595180494205
01037,-8.337661305182571,-1.9816076126854512
01039,-7.816753233096364,1.5532506801330328
01041,-5.114856460728088,2.3763877519541694
01043,-12.248631052191488,1.1054938403039505
01045,1.7829424217952479,1.8056286146657783
01047,8.51311339613654,7.623833474731256
01049,-14.817250249502248,7.298704921105548
01051,2.894179410766082,1.7621417500576975
01053,0.2120013052605998,2.379400780814734
01055,-11.652298016244,2.9435680424540713
01057,-14.276115407723825,1.3426042707559755
01059,-20.248986614489954,6.9746642590331245
01061,-7.391973491901648,0.012893773379442308
01063,1.9017979620681729,1.5115152351423546
01065,0.8321179698516872,0.12666180378911207
01067,-5.151766097416971,-4.2667094380413175
01069,2.979883726743193,4.310870422058212
01071,-26.91978314520363,0.5263383481425965
01073,11.219022392104876,6.346483120317039
01075,-14.880247881252139,-0.5740537934122543
01077,-12.45644946753093,1.1822179307582878
01079,-21.903330111983106,-0.35579213151593336
01081,3.0404986386422195,3.677877297050369
01083,-3.3573353149948773,3.2640526843545565
01085,2.7044304863818525,1.225865282026021
01087,-1.061485692511937,-2.229656201307634
01089,5.371577420670427,4.093145127769748
01091,1.7284499520115517,1.3783130960421488
01093,-19.067098914730686,2.1977382231479936
01095,-11.873105478936735,1.0179934919556928
01097,3.0565739071047844,4.4103133133661885
01099,3.418709831162843,3.0394238198054495
01101,15.358126206912253,13.12272480595555
01103,-5.3008702944322685,4.981807975810261
01105,5.816345943702231,1.3545700591738097
01107,-1.2668873286771145,-0.46434083558165895
01109,4.528879221056727,2.9442507226963883
01111,-11.025802124948346,-0.4389954649581007
01113,3.1197626809336114,7.043105723129315
01115,-1.2063077571200225,2.6813474591752318
01117,10.479896339494509,9.582564983903884
01119,3.758532196988156,0.6156112177553723
01121,-1.148527715974204,2.9670935512696133
01123,-2.4112880899895757,3.5651134856758624
01125,4.339070796335342,3.8479368363912165
01127,-16.31443447596656,1.27185658325668
01129,-12.735183259512286,-1.5534517675551882
01131,1.1661049460275734,0.1302273244112655
01133,-12.849953152526044,0.9975029664598511
04001,1.931469024739556,-3.5409735583528033
04003,0.2863404913002441,-8.929993700755801
